200 200
52 111 443
12 52 981
70 52 1261
120 111 917
143 52 1186
18 143 1676
110 18 2401
165 18 1815
102 165 2484
116 102 2948
40 116 3303
109 165 2437
3 110 3147
76 3 3569
57 116 3749
60 57 4627
167 52 887
154 18 2384
117 143 2110
144 12 1581
87 40 3224
58 87 3295
134 58 4176
170 3 3087
193 170 3006
28 193 2947
137 28 3615
105 137 3589
59 105 3929
31 59 4305
97 111 445
14 97 863
69 14 1211
131 69 1220
115 31 4892
72 69 1583
103 105 4188
10 14 1674
140 28 3175
67 31 4963
81 110 2670
104 81 3300
80 104 3228
90 80 3853
177 90 4152
107 111 1
1 107 1
153 1 582
168 154 2539
183 168 2918
166 183 3694
164 166 4554
44 70 2254
17 134 4680
61 87 3550
50 61 3752
106 143 1207
150 28 3136
133 150 4094
172 133 4902
184 172 5205
142 70 2151
185 142 2897
54 185 3397
77 134 4127
9 77 4160
34 9 4107
169 34 4232
16 169 4157
26 16 4886
178 67 5884
197 178 5912
32 106 1763
83 104 3201
48 76 3997
112 144 2228
108 1 536
91 61 3535
118 137 3664
24 118 4093
123 184 6105
78 48 4286
20 78 4578
127 20 4722
45 77 4467
121 115 5124
132 121 5484
195 57 3830
2 78 5282
39 2 5516
96 39 6040
5 96 6208
22 12 1367
158 9 5154
6 14 1392
199 131 2190
194 199 2821
156 194 3448
180 78 4641
8 39 5995
139 170 3361
181 139 3981
149 158 5492
141 149 5776
101 141 6382
189 101 6619
11 177 4670
84 70 1719
114 84 2008
93 114 2486
49 93 2957
62 105 4207
128 28 3021
191 118 4157
68 191 4856
41 96 6403
125 52 1290
64 111 390
130 64 333
159 81 3244
160 159 4195
75 101 7122
55 75 7220
152 44 2770
192 189 7415
161 93 2704
176 44 3066
200 176 3751
25 49 3440
4 102 3228
126 4 3355
73 126 3915
163 11 4719
188 2 6216
51 188 7171
63 184 6198
147 165 2637
99 147 2667
171 99 2793
119 171 3046
129 137 4328
182 129 5090
155 182 6009
47 90 3836
13 4 3919
100 13 4492
198 106 1197
190 87 4187
148 190 4129
43 17 5341
173 155 6082
135 34 4357
33 135 4842
92 69 2160
162 73 4678
157 162 4597
179 157 4633
94 179 5151
79 16 4353
86 79 4623
136 86 5050
146 8 6067
53 146 6130
27 17 5253
29 92 2207
19 183 3150
42 119 3944
38 42 4222
15 38 4484
23 15 5332
30 139 3483
35 30 4304
186 35 5051
74 186 5320
37 139 4014
82 55 7948
56 195 3914
196 67 4872
145 196 4857
65 145 5046
36 65 5056
89 161 3243
113 116 3001
46 113 3339
174 46 3406
122 37 4245
95 48 4872
175 95 5462
21 175 5593
88 106 1126
124 88 1846
151 93 2973
66 14 1267
98 82 8245
138 170 3593
71 123 6700
85 71 6997
187 85 7151
7 187 7738
1 133
1 67
1 83
917 87
2437 191
1 77
1186 93
1676 40
3569 137
1186 44
443 183
981 156
3569 16
1 54
2437 184
1 98
1261 70
917 150
2401 40
4627 11
4627 91
917 153
1815 178
2437 167
1186 42
3147 99
1 177
1676 29
887 109
2484 198
1 175
981 126
443 13
1676 22
1 40
3749 160
443 155
3303 173
1 53
4627 83
2437 155
443 107
1261 191
1261 173
443 60
3569 81
2401 191
1261 153
1 70
2484 84
2484 101
2401 68
1261 33
1 76
1676 13
3147 37
2401 45
917 15
443 127
2437 40
443 153
917 191
443 32
3303 136
2401 78
3303 199
2401 156
2948 157
917 24
1 159
1 46
1676 191
3303 101
1 165
1186 60
1676 45
981 152
443 20
1 105
1261 76
1676 168
917 130
1 132
2484 8
1676 184
3569 73
1815 63
1815 198
917 142
3303 75
1261 86
981 31
443 99
1 25
1186 42
443 81
1186 190
3303 124
443 94
1186 21
887 14
1 71
1 30
2484 144
1676 25
2948 187
2401 170
1 31
1186 188
1186 50
1 140
1676 131
1261 150
1 82
443 134
981 88
2484 120
3303 45
1186 60
1186 154
1 106
2437 200
443 116
1261 54
1 88
917 163
1261 6
2401 112
1 4
1261 22
1 44
1676 129
1 101
1186 188
2437 190
2948 27
1261 37
1 93
1 122
3147 167
981 124
2401 85
1 132
1676 166
2948 70
2437 23
1 170
981 77
443 141
917 173
3569 128
917 13
1815 125
917 187
2437 195
3147 142
1186 38
443 191
443 114
1 58
2401 147
1 26
1186 22
1261 35
1261 157
917 73
443 112
1 62
2484 17
2484 145
1676 68
1 158
1186 51
1261 77
981 154
1 199
3147 138
1 141
1 84
1 10
2437 140
981 105
1676 165
2401 150
981 140
981 187
1676 80
917 8
1676 162
917 54
1 95
917 182
1 188
3147 39
2401 121
443 87
2401 64
2484 11
1186 143
1676 26
